URL;Label;Class;Importation;Wiki;Dbpedia;Web;Définition;Synonyme;Voir;JLMonfort
http://isi.cbs.nl/glossary/term1692.htm;à l'intérieur des blocs;ALinterieurDesBlocs;Non;;;;;;;
http://isi.cbs.nl/glossary/term942.htm;a priori vague;APrioriVague;Non;;;;;;;
http://isi.cbs.nl/glossary/term54.htm;à sous-ensemble proportionné;ASousEnsembleProportionne;Non;;;;;;;
http://isi.cbs.nl/glossary/term1579.htm;à traitement d'images;ATraitementDimages;Non;;;;;;;
http://isi.cbs.nl/glossary/term2504.htm;abaque de la loi de Poisson;AbaqueDeLaLoiDePoisson;Non;;;;;;;
http://isi.cbs.nl/glossary/term1608.htm;action indépendante;ActionIndependante;Non;;;;;;;
http://isi.cbs.nl/glossary/term3011.htm;action semblable;ActionSemblable;Non;;;;;;;
http://isi.cbs.nl/glossary/term41.htm;adaptation;Adaptation;Non;;;;;;;
http://isi.cbs.nl/glossary/term48.htm;addition de variables aléatoires;AdditionDeVariablesAleatoires;Non;http://users.polytech.unice.fr/~leroux/probabilitesbis/node19.html;;;;;;
http://isi.cbs.nl/glossary/term53.htm;additivité des moyennes;AdditiviteDesMoyennes;Non;;;;;;;
http://isi.cbs.nl/glossary/term2615.htm;affectation proportionelle;AffectationProportionelle;Non;;;;;;;
http://isi.cbs.nl/glossary/term64.htm;affinez l'alpha resolvability;AffinezLalphaResolvability;Non;;;;;;;
http://isi.cbs.nl/glossary/term65.htm;affinité;Affinite;Non;;;;;;;
http://isi.cbs.nl/glossary/term3407.htm;agrégat final (sondages);AgregatFinalSondages;Non;;;;;;;
http://isi.cbs.nl/glossary/term74.htm;agrégation;Agregation;Non;;;;;;;
http://isi.cbs.nl/glossary/term232.htm;agrégation de circuit fermé;AgregationDeCircuitFerme;Non;;;;;;;
http://isi.cbs.nl/glossary/term2530.htm;agrégation des classes;AgregationDesClasses;Non;;;;;;;
http://isi.cbs.nl/glossary/term451.htm;aiguille de Buffon;AiguilleDeBuffon;Non;;;;;;;
http://isi.cbs.nl/glossary/term267.htm;aire élémentaire (sondages);AireElementaireSondages;Non;;;;;;;
